02-13 18:51:00.346  2837  3632 E AwareLog: iAwareSdkService: onTransactEx deal data Exception
02-13 18:51:00.445 29185 29185 D AndroidRuntime: Shutting down VM
02-13 18:51:00.446 29185 29185 E AndroidRuntime: FATAL EXCEPTION: main
02-13 18:51:00.446 29185 29185 E AndroidRuntime: Process: com.court.assistant, PID: 29185
02-13 18:51:00.446 29185 29185 E AndroidRuntime: java.lang.NoSuchMethodError: No virtual method at(Ljava/lang/Object;I)Landroidx/compose/animation/core/KeyframesSpec$KeyframeEntity; in class Landroidx/compose/animation/core/KeyframesSpec$KeyframesSpecConfig; or its super classes (declaration of 'androidx.compose.animation.core.KeyframesSpec$KeyframesSpecConfig' appears in /data/app/~~A4K60QOsojosna-8wsJaqw==/com.court.assistant-aWbnp8DA7jtambx3fNM9TA==/base.apk)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.material3.ProgressIndicatorKt$CircularProgressIndicator$endAngle$1.invoke(ProgressIndicator.kt:371)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.material3.ProgressIndicatorKt$CircularProgressIndicator$endAngle$1.invoke(ProgressIndicator.kt:369)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.animation.core.AnimationSpecKt.keyframes(AnimationSpec.kt:649)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.material3.ProgressIndicatorKt.CircularProgressIndicator-LxG7B9w(ProgressIndicator.kt:369)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at com.court.assistant.ui.MainScreenKt$MainScreen$10.invoke(MainScreen.kt:162)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at com.court.assistant.ui.MainScreenKt$MainScreen$10.invoke(MainScreen.kt:148)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:118)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.material3.ScaffoldKt$ScaffoldLayout$1$1$1$bodyContentPlaceables$1.invoke(Scaffold.kt:239)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.material3.ScaffoldKt$ScaffoldLayout$1$1$1$bodyContentPlaceables$1.invoke(Scaffold.kt:221)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.ui.layout.LayoutNodeSubcompositionsState$subcompose$3$1$1.invoke(SubcomposeLayout.kt:989)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.ui.layout.LayoutNodeSubcompositionsState$subcompose$3$1$1.invoke(SubcomposeLayout.kt:476)
02-13 18:51:00.446 29185 29185 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
